
////COMPANIES PARTICIPATED IN CAMPUS PLACEMENT-2016//////


|--------|--------------------|------------|
|SI.NO:  |       COMPANY:     |  SALARY:   |
|--------|--------------------|------------|
|1	 |	CTS	      |	 1 Lakh    |
|2	 |	TCS           |  2 Lakh    |
|3	 |     GOOGLE         |  3 Lakh    |
|4	 |    ACCENTURE       |  3 Lakh    |
|5       |      BOSCH	      |  2 Lakh    |
|6       |    AJ CONSTRUCTION |  1 Lakh    |
|7	 |      PAYTM         |  3 Lakh    |
|8       |      INFOSYS       |  3 Lakh    |
|9	 |      WIPRO         |  2 Lakh    |
|10      |     MECHCITY       |  1 Lakh    |
|11	 |    L&T SPIN        |  2 Lakh    |
|--------|--------------------|------------|
